url,headline,description,image_url,audio_url
https://www.nachrichtenleicht.de/bundeswehr-abhoerskandal-spionage-russland-deutschland-100.html,Russische Spione haben deutsche Soldaten abgehört,Spione aus dem Land Russland haben ein Gespräch von deutschen Soldaten abgehört und dann öffentlich gemacht. Das Gespräch war geheim. Es ging um Waffen für das Land Ukraine.,https://bilder.deutschlandfunk.de/51/d6/2b/51/51d62b51-3702-47b8-bc9a-3125791b7cf0/taurus-108-640x360.jpg,https://ondemand-mp3.dradio.de/file/dradio/2024/03/08/nleicht_russische_spione_haben_deutsche_soldaten_abgehoert_20240308.mp3
https://www.nachrichtenleicht.de/abtreibung-frankreich-102.html,Frankreich schreibt das Recht zur Abtreibung in die Verfassung,In dem Land Frankreich dürfen Frauen schon seit vielen Jahren abtreiben. Abtreiben bedeutet: eine Schwangerschaft beenden. Zum Beispiel mit einem Medikament. Jetzt hat das Parlament entschieden: Das Recht auf Abtreibung kommt in die Verfassung von Frankreich.,https://bilder.deutschlandfunk.de/36/53/63/32/36536332-05b5-49aa-8fb5-fd1500b5c78a/abtreibungen-frankreich-100-640x360.jpg,https://ondemand-mp3.dradio.de/file/dradio/2024/03/08/nleicht_frankreich_schreibt_das_recht_zur_abtreibung_in_20240308.mp3
https://www.nachrichtenleicht.de/gewalt-haiti-102.html,Gewalt in Haiti,"In dem Land Haiti gibt es gerade viel Gewalt. Bewaffnete Banden haben Gefängnisse, Polizei-Stationen und einen Flughafen angegriffen. Es gibt viele Tote und Verletzte. Tausende Menschen sind auf der Flucht.",https://bilder.deutschlandfunk.de/26/00/0c/dd/26000cdd-bef9-4af0-890d-dd3a42262cd3/haiti-114-640x360.jpg,https://ondemand-mp3.dradio.de/file/dradio/2024/03/08/nleicht_gewalt_in_haiti_20240308.mp3
https://www.nachrichtenleicht.de/gaza-hilfsgueter-100.html,Berichte über viele tote Palästinenser,Im Gaza-Streifen ist Krieg zwischen dem Land Israel und der Terror-Gruppe Hamas. Jetzt gibt es Berichte über einen Vorfall bei einer Hilfs-Lieferung. Viele Menschen sollen ums Leben gekommen sein.,https://bilder.deutschlandfunk.de/72/84/72/8e/7284728e-b82e-437f-ae21-e1a8a73422dd/gaza-stadt-110-640x360.jpg,
https://www.nachrichtenleicht.de/nawalny-beerdigt-100.html,Russischer Regierungs-Gegner Nawalny in Moskau beerdigt,Alexej Nawalny war der bekannteste Gegner von dem russischen Präsidenten Wladimir Putin. Er ist Anfang Februar in einem russischen Straf-Lager gestorben. Jetzt wurde er in der Haupt-Stadt Moskau beerdigt.,https://bilder.deutschlandfunk.de/10/70/4c/0d/10704c0d-1aff-42d9-bb5d-475478122665/alexej-nawalny-beerdigung-trauerfeier-sarg-portraet-kirche-lindere-meine-trauer-marjino-kremlgegner-kremlkritiker-100-640x360.jpg,
https://www.nachrichtenleicht.de/macron-134.html,EU streitet über Boden-Truppen für die Ukraine,In der Ukraine ist seit 2 Jahren Krieg. Die EU hilft der Ukraine im Kampf gegen Russland mit Waffen und Geld. Das Land Frankreich hat jetzt den Einsatz von Soldaten nicht ausgeschlossen. Das sorgt für Streit in der EU.,https://bilder.deutschlandfunk.de/33/23/ea/e2/3323eae2-b9c8-4ff1-9183-f8fb3317849d/ukraine-soldaten-116-640x360.jpg,https://ondemand-mp3.dradio.de/file/dradio/2024/03/01/nleicht_eu_streitet_ueber_boden_truppen_fuer_die_ukraine_20240301.mp3
https://www.nachrichtenleicht.de/bundeswehr-fregatte-rotes-meer-102.html,Bundes-Wehr hat Angriffe auf Handels-Schiffe verhindert,Die Bundes-Wehr hat Handels-Schiffe im Roten Meer beschützt. Ein deutsches Kriegs-Schiff hat 2 Drohnen abgeschossen. Drohnen sind kleine Raketen.,https://bilder.deutschlandfunk.de/cc/7f/84/a4/cc7f84a4-216d-4624-a2de-79a6fe535af8/fregatte-hessen-rotes-meer-100-640x360.jpg,https://ondemand-mp3.dradio.de/file/dradio/2024/03/01/nleicht_bundes_wehr_hat_angriffe_auf_handels_schiffe_20240301.mp3
https://www.nachrichtenleicht.de/cannabis-erlaubt-102.html,Cannabis wird erlaubt ,"Cannabis ist eine Droge. Jetzt haben die Abgeordneten im Bundestag entschieden: In Deutschland ist es bald erlaubt, Cannabis zu besitzen. Es gibt aber bestimmte Regeln.",https://bilder.deutschlandfunk.de/57/4d/f3/d6/574df3d6-6a82-4b97-bea4-e8a07fed4cf0/cannabis-bluete-102-640x360.jpg,https://ondemand-mp3.dradio.de/file/dradio/2024/03/01/nleicht_cannabis_wird_erlaubt_20240301.mp3
https://www.nachrichtenleicht.de/raf-100.html,Frühere Links-Terroristin festgenommen,30 Jahre lang hat die deutsche Polizei nach der Terroristin Daniela Klette gesucht. Jetzt haben Polizisten Daniela Klette in Berlin gefunden und festgenommen.,https://bilder.deutschlandfunk.de/a4/63/70/74/a4637074-161f-4343-a671-2ff47da5561f/raf-terroristin-fahndung-berlin-100-640x360.jpg,https://ondemand-mp3.dradio.de/file/dradio/2024/03/01/nleicht_fruehere_links_terroristin_festgenommen_20240301.mp3
https://www.nachrichtenleicht.de/asyl-antraege-102.html,Mehr als 1 Million Asyl-Anträge in Europa ,Mehr als 1 Million Menschen haben im vergangenen Jahr einen Asyl-Antrag in Europa gestellt. Asyl-Antrag bedeutet: Menschen fühlen sich in ihrem Heimat-Land nicht mehr sicher. Deshalb wollen sie in einem anderen Land leben.,https://bilder.deutschlandfunk.de/24/02/2d/9d/24022d9d-df6b-494f-88a0-898b7345e2ca/migration-112-640x360.jpg,https://ondemand-mp3.dradio.de/file/dradio/2024/03/01/nleicht_mehr_als_1_million_asyl_antraege_in_europa_20240301.mp3
https://www.nachrichtenleicht.de/wirtschaft-wachstum-102.html,Streit über Hilfe für die Wirtschaft,"Manchen Firmen in Deutschland geht es nicht so gut. Die Regierung möchte den Firmen helfen. Die Parteien von der Opposition möchten das auch. Aber alle streiten sich, wie sie den Firmen am besten helfen können.",https://bilder.deutschlandfunk.de/9c/df/3a/ae/9cdf3aae-abbf-45b4-845e-fee3136e13d9/bundeswirtschaftsminister-habeck-bundestag-jahreswirtschaftsbericht-blockade-wachstumschancengesetz-100-640x360.jpg,https://ondemand-mp3.dradio.de/file/dradio/2024/02/23/nleicht_streit_ueber_hilfe_fuer_die_wirtschaft_20240223.mp3
https://www.nachrichtenleicht.de/ukraine-gedenktag-100.html,2 Jahre Krieg gegen die Ukraine,In dem Land Ukraine ist seit 2 Jahren Krieg. Das Land Russland hat die Ukraine angegriffen. Das war am 24. Februar 2022. Russland hat jetzt eine wichtige Stadt in dem Land erobert. Diese Stadt heißt Awdijiwka.,https://bilder.deutschlandfunk.de/8b/65/af/29/8b65af29-9387-4d5c-9739-e71829f8c56e/awdijiwka-106-640x360.jpg,https://ondemand-mp3.dradio.de/file/dradio/2024/02/23/nleicht_2_jahre_krieg_gegen_die_ukraine_20240223.mp3
https://www.nachrichtenleicht.de/julia-nawalnaja-102.html,Frau von russischem Regierungs-Kritiker Nawalny will weiter kämpfen,In dem Land Russland ist ein bekannter Kritiker von der Regierung gestorben. Sein Name war Alexej Nawalny. Nawalny ist im Gefängnis gestorben. Seine Frau heißt Julia Nawalnaja. Sie sagt jetzt: Ich will für ihn weiter gegen die Regierung kämpfen.,https://bilder.deutschlandfunk.de/fd/31/1a/fc/fd311afc-a734-4d43-9b66-4bc4128943c2/julia-nawalnaja-tod-alexej-100-640x360.jpg,https://ondemand-mp3.dradio.de/file/dradio/2024/02/23/nleicht_frau_von_russischem_regierungs_kritiker_nawalny_20240223.mp3
https://www.nachrichtenleicht.de/assange-prozess-104.html,Neuer Prozess um Julian Assange,Julian Assange ist der Gründer von der Internet-Plattform Wiki-Leaks. Er sitzt in dem Land Groß-Britannien im Gefängnis. Jetzt hat es noch mal einen wichtigen Gerichts-Prozess um Assange gegeben.,https://bilder.deutschlandfunk.de/7c/1b/6d/da/7c1b6dda-6f1b-424c-8ed0-fab3faac4294/assange-prozess-100-640x360.jpg,https://ondemand-mp3.dradio.de/file/dradio/2024/02/23/nleicht_neuer_prozess_um_julian_assange_20240223.mp3
https://www.nachrichtenleicht.de/nahost-fregatte-hessen-100.html,Bundeswehr-Einsatz im Roten Meer,In der Region Gaza-Streifen gibt es seit fast 5 Monaten einen Krieg. Das Land Israel kämpft gegen die Terror-Organisation Hamas. Seitdem gibt es auch an anderen Orten im Nahen Osten mehr Gewalt. Zum Beispiel Angriffe auf Schiffe im Roten Meer. Deshalb gibt es jetzt einen Bundeswehr-Einsatz.,https://bilder.deutschlandfunk.de/cc/7f/84/a4/cc7f84a4-216d-4624-a2de-79a6fe535af8/fregatte-hessen-rotes-meer-100-640x360.jpg,https://ondemand-mp3.dradio.de/file/dradio/2024/02/23/nleicht_bundeswehr_einsatz_im_roten_meer_20240223.mp3
https://www.nachrichtenleicht.de/trauer-um-alexej-nawalny-102.html,Trauer um russischen Regierungs-Kritiker ,Alexej Nawalny war ein bekannter Regierungs-Kritiker in dem Land Russland. Jetzt ist Nawalny im Gefängnis gestorben. Das sagt die Regierung in Russland. Viele Politiker aus dem Ausland sagen: Die russische Regierung ist schuld.,https://bilder.deutschlandfunk.de/be/79/bd/64/be79bd64-5f4b-4cee-84e8-1d9630304fe9/nawalny-gedenken-100-640x360.jpg,
https://www.nachrichtenleicht.de/trump-nato-106.html,Diskussion über Verteidigung wegen Trump,In Europa wird gerade viel über militärische Verteidigung gesprochen. Die Länder in Europa sind fast alle Mitglieder von der NATO. Das größte Mitglied ist das Land USA. Jetzt will Donald Trump wieder Präsident von den USA werden.,https://bilder.deutschlandfunk.de/5c/95/a7/04/5c95a704-b17f-40c2-8645-ea5c3520a230/trump-wahlkampf-100-640x360.jpg,https://ondemand-mp3.dradio.de/file/dradio/2024/02/16/nleicht_diskussion_ueber_verteidigung_wegen_trump_20240216.mp3
